Altium Designer Pick and Place Locations
D:\Projekte\UltraZohm\Work_Altium\uz_d_temperature\Altium_project\Project Outputs for UZ_D_Temperature_Card_LTC2983\Rev03\Pick Place\Pick_and_Place_UZ_D_Temperature_Card_LTC2983_All_Thermocouple_Rev03.csv

========================================================================================================================
File Design Information:

Date:       29.12.23
Time:       12:34
Revision:   7b5b3c8828f83df47f308a7942797fb9cf470608
Variant:    All_Thermocouple
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"U4C","48_LGFP(7x7)","101.7500","104.5000","17.6700","21.9200","101.7500","17.6700","90","LTC2983","TopLayer"
"U4B","48_LGFP(7x7)","40.9000","45.1500","43.3500","40.6000","40.9000","43.3500","0","LTC2983","TopLayer"
"U4A","48_LGFP(7x7)","101.7800","104.5300","67.6700","71.9200","101.7800","67.6700","90","LTC2983","TopLayer"
"C37","C_0603","15.0853","15.0853","13.4457","13.4457","15.7853","13.4457","180","100 nF","TopLayer"
"C36","C_0603","28.7500","28.7500","84.2500","84.2500","28.0500","84.2500","0","10 µF","TopLayer"
"C35","C_0603","23.5000","23.5000","82.7500","82.7500","22.8000","82.7500","0","0.1 µF","TopLayer"
"C34","C_0603","23.5000","23.5000","84.2500","84.2500","22.8000","84.2500","0","10 µF","TopLayer"
"C33C","C_0603","118.6000","118.6000","24.0210","24.0210","117.9000","24.0210","0","0.1 µF","TopLayer"
"C32C","C_0603","118.6000","118.6000","22.3708","22.3708","119.3000","22.3708","180","0.1 µF","TopLayer"
"C31C","C_0603","118.6000","118.6000","25.6713","25.6713","117.9000","25.6713","0","0.1 µF","TopLayer"
"C30C","C_0603","118.6000","118.6000","20.7205","20.7205","119.3000","20.7205","180","0.1 µF","TopLayer"
"C29C","C_0603","118.6000","118.6000","27.3215","27.3215","117.9000","27.3215","0","0.1 µF","TopLayer"
"C28C","C_0603","118.6000","118.6000","19.0703","19.0703","119.3000","19.0703","180","0.1 µF","TopLayer"
